db_id,question,evidence,SQL
movie_platform,Name movie titles released in year 1945. Sort the listing by the descending order of movie popularity.,released in the year 1945 refers to movie_release_year = 1945;,SELECT movie_title FROM movies WHERE movie_release_year = 1945 ORDER BY movie_popularity DESC LIMIT 1
movie_platform,State the most popular movie? When was it released and who is the director for the movie?,most popular movie refers to MAX(movie_popularity); when it was released refers to movie_release_year; director for the movie refers to director_name;,"SELECT movie_title, movie_release_year, director_name FROM movies ORDER BY movie_popularity DESC LIMIT 1 "
movie_platform,What is the name of the longest movie title? When was it released?,longest movie title refers to MAX(LENGTH(movie_title)); when it was released refers to movie_release_year;,"SELECT movie_title, movie_release_year FROM movies ORDER BY LENGTH(movie_popularity) DESC LIMIT 1"
movie_platform,Name the movie with the most ratings.,movie with the most rating refers to MAX(SUM(rating_score));,SELECT movie_title FROM movies GROUP BY movie_title ORDER BY COUNT(movie_title) DESC LIMIT 1
movie_platform,What is the average number of Mubi users who love movies directed by Stanley Kubrick?,average = AVG(movie_popularity); number of Mubi users who loves the movie refers to movie_popularity;,SELECT AVG(movie_popularity) FROM movies WHERE director_name = 'Stanley Kubrick'
movie_platform,What is the average rating for movie titled 'When Will I Be Loved'?,"average rating = DIVIDE((SUM(rating_score where movie_title = 'When Will I Be Loved')), COUNT(rating_score));",SELECT AVG(T2.rating_score) FROM movies AS T1 INNER JOIN ratings AS T2 ON T1.movie_id = T2.movie_id WHERE T1.movie_title = 'When Will I Be Loved'
movie_platform,What is the user avatar url for user 41579158? What is the latest movie rated by him / her?,user avatar url refers to user_avatar_image_url; latest movie rated refers to latest rating_date;,"SELECT T3.user_avatar_image_url, T3.rating_date_utc FROM movies AS T1 INNER JOIN ratings AS T2 ON T1.movie_id = T2.movie_id INNER JOIN ratings_users AS T3 ON T3.user_id = T2.user_id WHERE T3.user_id = 41579158 ORDER BY T3.rating_date_utc DESC LIMIT 1"
movie_platform,What is the percentage of the ratings were rated by user who was a subcriber?,"user is a subscriber refers to user_subscriber = 1; percentage of ratings = DIVIDE(SUM(user_subscriber = 1), SUM(rating_score)) as percent;",SELECT CAST(SUM(CASE WHEN user_subscriber = 1 THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(*) FROM ratings
movie_platform,List all movie title rated in April 2020 from user who was a trialist.,movie title rated in April 2020 refers to rating_timestamp_utc LIKE '%2020-04-%'; user is a trial list refers to user_trialist = 1;,SELECT T1.movie_title FROM movies AS T1 INNER JOIN ratings AS T2 ON T1.movie_id = T2.movie_id WHERE T2.user_trialist = 1 AND T2.rating_timestamp_utc LIKE '2020-04%'
movie_platform,List ther users who gave the worst rating for movie 'Love Will Tear Us Apart'.,worst rating refers to rating_score = 1;,SELECT T1.user_id FROM ratings AS T1 INNER JOIN movies AS T2 ON T1.movie_id = T2.movie_id WHERE T2.movie_title = 'Love Will Tear Us Apart' AND T1.rating_score = 1
