sl no,db_id,question,SQL
3,movie_platform,What is the name of the longest movie title? When was it released?,"SELECT movie_title, movie_release_year FROM movies ORDER BY LENGTH(movie_popularity) DESC LIMIT 1"
5,movie_platform,What is the average number of Mubi users who love movies directed by Stanley Kubrick?,SELECT AVG(movie_popularity) FROM movies WHERE director_name = 'Stanley Kubrick'
6,movie_platform,What is the average rating for movie titled 'When Will I Be Loved'?,SELECT AVG(T2.rating_score) FROM movies AS T1 INNER JOIN ratings AS T2 ON T1.movie_id = T2.movie_id WHERE T1.movie_title = 'When Will I Be Loved'
16,movie_platform,"Who is the director of the movie Sex, Drink and Bloodshed?","SELECT director_name FROM movies WHERE movie_title = 'Sex, Drink and Bloodshed'"
36,movie_platform,"How many users, who were a paying subscriber when they rated the movie, gave the movie that was released in 1924 and directed by Erich von Stroheim a rating score of 5?",SELECT COUNT(T2.user_id) FROM movies AS T1 INNER JOIN ratings AS T2 ON T1.movie_id = T2.movie_id WHERE T1.movie_release_year = 1924 AND T1.director_name = 'Erich von Stroheim' AND T2.rating_score = 5 AND T2.user_has_payment_method = 1
37,movie_platform,What is the average number of movies added to the lists of user 8516503? Give the user profile image URL on Mubi.,"SELECT AVG(T1.list_movie_number), T2.user_avatar_image_url FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.list_id = T2.list_id AND T1.user_id = T2.user_id WHERE T2.user_id = 8516503"
2490,genes,"For the genes that are located in the plasma membrane, please list their number of chromosomes.",SELECT T1.Chromosome FROM Genes AS T1 INNER JOIN Classification AS T2 ON T1.GeneID = T2.GeneID WHERE T2.Localization = 'plasma membrane'
2492,genes,"Among the genes with nucleic acid metabolism defects, how many of them can be found in the vacuole?",SELECT COUNT(T1.GeneID) FROM Genes AS T1 INNER JOIN Classification AS T2 ON T1.GeneID = T2.GeneID WHERE T2.Localization = 'vacuole' AND T1.Phenotype = 'Nucleic acid metabolism defects'
2498,genes,Please list the motif of the genes that are located in the cytoplasm and have 7 chromosomes.,"SELECT T2.GeneID1, T2.GeneID2 FROM Genes AS T1 INNER JOIN Interactions AS T2 ON T1.GeneID = T2.GeneID1 WHERE T1.Localization = 'cytoplasm' AND T1.Chromosome = 7"
2499,genes,"For the non-essential genes whose functions are transcription, how many of them are not located in the cytoplasm?",SELECT COUNT(T1.GeneID) FROM Genes AS T1 INNER JOIN Interactions AS T2 ON T1.GeneID = T2.GeneID1 WHERE T1.Localization != 'cytoplasm' AND T1.Function = 'TRANSCRIPTION' AND T1.Essential = 'NON-Essential'
