sl no,db_id,question,SQL,LLM_SQL,SQL_op,LLM_SQL_op
3,movie_platform,What is the name of the longest movie title? When was it released?,"SELECT movie_title, movie_release_year FROM movies ORDER BY LENGTH(movie_popularity) DESC LIMIT 1","SELECT movie_title, movie_release_year FROM movies ORDER BY LENGTH(movie_title) DESC LIMIT 1","('A Clockwork Orange', 1971)","('T Schrijverke,2017,http://mubi.com/films/t-schrijverke,en,0,,627323,Evelyn Entwistle,http://mubi.com/cast/evelyn-entwistle\n205415,Buddy,2015,http://mubi.com/films/buddy-2015,en,0,https://images.mubicdn.net/images/film/205415/cache-336127-1525514085/image-', 1925)"
5,movie_platform,What is the average number of Mubi users who love movies directed by Stanley Kubrick?,SELECT AVG(movie_popularity) FROM movies WHERE director_name = 'Stanley Kubrick',"SELECT AVG(t.love_count) FROM (SELECT r.user_id, COUNT(*) AS love_count FROM ratings AS r INNER JOIN movies AS m ON r.movie_id = m.movie_id WHERE m.director_name = 'Stanley Kubrick' AND r.rating_score >= 8 GROUP BY r.user_id) AS t","(4233.1875,)","(None,)"
6,movie_platform,What is the average rating for movie titled 'When Will I Be Loved'?,SELECT AVG(T2.rating_score) FROM movies AS T1 INNER JOIN ratings AS T2 ON T1.movie_id = T2.movie_id WHERE T1.movie_title = 'When Will I Be Loved',SELECT AVG(r.rating_score) FROM ratings AS r INNER JOIN movies AS m ON r.movie_id = m.movie_id WHERE m.movie_title = 'When Will I Be Loved',"(2.7027027027027026,)","(2.7027027027027026,)"
16,movie_platform,"Who is the director of the movie Sex, Drink and Bloodshed?","SELECT director_name FROM movies WHERE movie_title = 'Sex, Drink and Bloodshed'","SELECT director_name FROM movies WHERE movie_title = 'Sex, Drink and Bloodshed'","('Zvonimir Jurić, Boris T. Matic, Antonio Nuić',)","('Zvonimir Jurić, Boris T. Matic, Antonio Nuić',)"
36,movie_platform,"How many users, who were a paying subscriber when they rated the movie, gave the movie that was released in 1924 and directed by Erich von Stroheim a rating score of 5?",SELECT COUNT(T2.user_id) FROM movies AS T1 INNER JOIN ratings AS T2 ON T1.movie_id = T2.movie_id WHERE T1.movie_release_year = 1924 AND T1.director_name = 'Erich von Stroheim' AND T2.rating_score = 5 AND T2.user_has_payment_method = 1,SELECT COUNT(user_id) FROM ratings INNER JOIN movies ON ratings.movie_id = movies.movie_id WHERE movies.movie_release_year = 1924 AND movies.director_name = 'Erich von Stroheim' AND ratings.rating_score = 5 AND ratings.user_subscriber = 1,"(123,)","(55,)"
37,movie_platform,What is the average number of movies added to the lists of user 8516503? Give the user profile image URL on Mubi.,"SELECT AVG(T1.list_movie_number), T2.user_avatar_image_url FROM lists AS T1 INNER JOIN lists_users AS T2 ON T1.list_id = T2.list_id AND T1.user_id = T2.user_id WHERE T2.user_id = 8516503","SELECT AVG(l.list_movie_number), ru.user_avatar_image_url FROM lists AS l INNER JOIN ratings_users AS ru ON l.user_id = ru.user_id WHERE l.user_id = 8516503 GROUP BY ru.user_avatar_image_url","(30.6, 'https://assets.mubicdn.net/images/avatars/41627/images-w150.jpg?1523891758')","(30.6, 'https://assets.mubicdn.net/images/avatars/41627/images-w150.jpg?1523891758')"
2490,genes,"For the genes that are located in the plasma membrane, please list their number of chromosomes.",SELECT T1.Chromosome FROM Genes AS T1 INNER JOIN Classification AS T2 ON T1.GeneID = T2.GeneID WHERE T2.Localization = 'plasma membrane',SELECT g.Chromosome FROM Genes AS g INNER JOIN Classification AS c ON g.GeneID = c.GeneID WHERE c.Localization = 'plasma membrane',"(2,); (2,); (2,); (2,); (2,); (2,); (2,); (2,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (6,); (6,); (6,); (6,); (6,); (6,); (7,); (7,); (7,); (7,); (7,); (7,); (7,); (7,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (10,); (10,); (10,); (10,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (13,); (13,); (13,); (13,); (13,); (13,); (13,); (13,); (13,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (7,); (7,); (7,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (2,); (2,); (2,); (2,); (8,); (8,); (8,); (5,); (5,); (5,); (3,); (3,); (3,); (3,); (3,); (3,); (12,); (15,); (15,); (15,); (15,); (15,); (15,); (7,); (7,); (7,); (7,); (7,); (7,); (14,); (14,); (4,); (4,); (4,)","(2,); (2,); (2,); (2,); (2,); (2,); (2,); (2,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (3,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (4,); (6,); (6,); (6,); (6,); (6,); (6,); (7,); (7,); (7,); (7,); (7,); (7,); (7,); (7,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (8,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (9,); (10,); (10,); (10,); (10,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (13,); (13,); (13,); (13,); (13,); (13,); (13,); (13,); (13,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (14,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (15,); (7,); (7,); (7,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (12,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (10,); (2,); (2,); (2,); (2,); (8,); (8,); (8,); (5,); (5,); (5,); (3,); (3,); (3,); (3,); (3,); (3,); (12,); (15,); (15,); (15,); (15,); (15,); (15,); (7,); (7,); (7,); (7,); (7,); (7,); (14,); (14,); (4,); (4,); (4,)"
2492,genes,"Among the genes with nucleic acid metabolism defects, how many of them can be found in the vacuole?",SELECT COUNT(T1.GeneID) FROM Genes AS T1 INNER JOIN Classification AS T2 ON T1.GeneID = T2.GeneID WHERE T2.Localization = 'vacuole' AND T1.Phenotype = 'Nucleic acid metabolism defects',SELECT COUNT(G.GeneID) FROM Genes AS G INNER JOIN Classification AS C ON G.GeneID = C.GeneID WHERE G.Phenotype = 'nucleic acid metabolism defect' AND C.Localization = 'vacuole',"(0,)","(0,)"
2498,genes,Please list the motif of the genes that are located in the cytoplasm and have 7 chromosomes.,"SELECT T2.GeneID1, T2.GeneID2 FROM Genes AS T1 INNER JOIN Interactions AS T2 ON T1.GeneID = T2.GeneID1 WHERE T1.Localization = 'cytoplasm' AND T1.Chromosome = 7",SELECT g.Motif FROM Genes AS g WHERE g.Localization = 'cytoplasm' AND g.Chromosome = 7,"('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235425', 'G237120'); ('G235425', 'G237120'); ('G235425', 'G237120'); ('G235435', 'G234103'); ('G235435', 'G234103'); ('G235435', 'G234103'); ('G235972', 'G237778'); ('G235972', 'G237778'); ('G237391', 'G235652'); ('G237391', 'G235830'); ('G237391', 'G235846'); ('G237391', 'G235652'); ('G237391', 'G235830'); ('G237391', 'G235846'); ('G237391', 'G235652'); ('G237391', 'G235830'); ('G237391', 'G235846'); ('G237391', 'G235652'); ('G237391', 'G235830'); ('G237391', 'G235846'); ('G238968', 'G234400'); ('G238968', 'G234400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400')","('?',); ('?',); ('?',); ('?',); ('PS00709',); ('PS00709',); ('PS00993',); ('PS00993',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('PS00733',); ('PS00733',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('PS00581',); ('PS00581',); ('PS00581',); ('?',); ('?',); ('?',); ('PS00433',); ('PS00433',); ('PS00433',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('PS00167',); ('PS00167',); ('PS00168',); ('PS00168',); ('?',); ('?',)"
2499,genes,"For the non-essential genes whose functions are transcription, how many of them are not located in the cytoplasm?",SELECT COUNT(T1.GeneID) FROM Genes AS T1 INNER JOIN Interactions AS T2 ON T1.GeneID = T2.GeneID1 WHERE T1.Localization != 'cytoplasm' AND T1.Function = 'TRANSCRIPTION' AND T1.Essential = 'NON-Essential',SELECT COUNT(G.GeneID) FROM Genes AS G WHERE G.Essential = 'Non-Essential' AND G.Function = 'Transcription' AND G.Localization <> 'Cytoplasm',"(0,)","(0,)"
2502,genes,"For the pairs of genes both from the class ATPases, what is the average expression correlation score?",SELECT AVG(T2.Expression_Corr) FROM Genes AS T1 INNER JOIN Interactions AS T2 ON T1.GeneID = T2.GeneID1 WHERE T1.Class = 'ATPases',SELECT AVG(Expression_Corr) FROM Interactions AS I INNER JOIN Genes AS G1 ON I.GeneID1 = G1.GeneID INNER JOIN Genes AS G2 ON I.GeneID2 = G2.GeneID WHERE G1.Class = 'ATPases' AND G2.Class = 'ATPases',"(0.1589836580612245,)","(0.21527922333472777,)"
